timestamp,acc_x,acc_y,acc_z,bvp,eda,hr,temp,relative_time,phase
2013-06-30 09:59:54.000,0.875,-5.125,64.125,11.815,1.106873,78.0,34.03,0.0,baseline
2013-06-30 09:59:54.250,1.0,-5.0,64.0,-11.903125,1.120961,77.68,34.03,0.25,baseline
2013-06-30 09:59:54.500,1.0,-5.0,64.125,13.142,1.131206,77.41,34.03,0.5,baseline
2013-06-30 09:59:54.750,0.875,-5.0,64.25,10.531875,1.141452,77.18,34.03,0.75,baseline
2013-06-30 09:59:55.000,1.0,-5.0,64.125,-4.96,1.150417,77.0,34.03,1.0,baseline
2013-06-30 09:59:55.250,0.875,-5.0,64.0,-3.065333,1.164505,76.86,34.03,1.25,baseline
2013-06-30 09:59:55.500,1.0,-5.0,64.111,-9.955625,1.196523,76.76,34.03,1.5,baseline
2013-06-30 09:59:55.750,1.0,-5.0,64.125,17.046667,1.242629,76.7,34.03,1.75,baseline
2013-06-30 09:59:56.000,1.0,-5.0,64.0,-3.2375,1.287454,76.67,34.0,2.0,baseline
2013-06-30 09:59:56.250,0.875,-5.0,64.0,6.25,1.31691,76.68,34.0,2.25,baseline
2013-06-30 09:59:56.500,0.875,-5.0,64.125,-20.478667,1.333559,76.73,34.0,2.5,baseline
2013-06-30 09:59:56.750,1.0,-5.0,64.0,-2.410625,1.345086,76.83,34.0,2.75,baseline
2013-06-30 09:59:57.000,0.75,-5.0,64.25,12.98125,1.347647,77.0,34.03,3.0,baseline
2013-06-30 09:59:57.250,1.0,-5.0,64.125,-12.526,1.346366,77.24,34.03,3.25,baseline
2013-06-30 09:59:57.500,1.0,-5.125,64.375,19.76625,1.337401,77.55,34.03,3.5,baseline
2013-06-30 09:59:57.750,1.0,-5.0,64.375,3.041333,1.322033,77.94,34.03,3.75,baseline
2013-06-30 09:59:58.000,1.0,-5.125,64.125,-18.32625,1.309226,78.4,34.0,4.0,baseline
2013-06-30 09:59:58.250,0.5,-5.125,64.125,7.72,1.296419,78.92,34.0,4.25,baseline
2013-06-30 09:59:58.500,0.875,-5.5,64.125,-20.472,1.282331,79.47,34.0,4.5,baseline
2013-06-30 09:59:58.750,1.125,-5.125,64.0,8.314375,1.279769,80.01,34.0,4.75,baseline
2013-06-30 09:59:59.000,1.0,-5.0,64.125,3.45125,1.265681,80.5,34.0,5.0,baseline
